year,merging_markets,mean_market_share,mean_price,mean_hhi
2016,no,24.42,268.65,5355
2017,no,22.75,289.57,5066
2018,no,22.93,282.52,5030
2016,yes,15.34,305.62,4162
2017,yes,18.07,314.26,4483
2018,yes,18.54,310.08,4412
